"","model","inference","replicate","height","ntaxa","r_mse","N_mse","N_true_sum","true positive","true negative","false negative","false positive","false positive rate","true positive rate","false negative rate","true negative rate","prop_error_geomean_lambda","prop_error_mean_lambda","prop_error_geomean_mu","prop_error_mean_mu","arithmetic_error_netdiv","criterion"
"68",1,"true_all",23,25,13,6.57953820158558e-05,3.80046553389556e-05,0,0,24,0,0,0,NA,NA,1,1.20278509882651,1.2027852117469,1.20278509882651,1.2027852117469,0.00811140846987615,"bayes_factor_10"
"69",1,"true_all",23,25,13,6.57953820158558e-05,3.80046553389556e-05,0,0,24,0,0,0,NA,NA,1,1.20278509882651,1.2027852117469,1.20278509882651,1.2027852117469,0.00811140846987615,"N_half_and_bayes_factor"
"70",1,"true_all",24,25,17,0.000104357085559437,0.0306654277785747,1,0,31,1,0,0,0,1,1,1.164084646333,1.17787930765213,1.164084646333,1.17787930765213,0.00653034864216429,"N_over_half"
"71",1,"true_all",24,25,17,0.000104357085559437,0.0306654277785747,1,0,31,1,0,0,0,1,1,1.164084646333,1.17787930765213,1.164084646333,1.17787930765213,0.00653034864216429,"bayes_factor_10"
"72",1,"true_all",24,25,17,0.000104357085559437,0.0306654277785747,1,0,31,1,0,0,0,1,1,1.164084646333,1.17787930765213,1.164084646333,1.17787930765213,0.00653034864216429,"N_half_and_bayes_factor"
"73",1,"true_all",25,25,20,0.000117642410769052,2.41607939035087e-05,0,0,38,0,0,0,NA,NA,1,1.2711538303947,1.27115451383367,1.2711538303947,1.27115451383367,0.0108461805533467,"N_over_half"
"74",1,"true_all",25,25,20,0.000117642410769052,2.41607939035087e-05,0,0,38,0,0,0,NA,NA,1,1.2711538303947,1.27115451383367,1.2711538303947,1.27115451383367,0.0108461805533467,"bayes_factor_10"
"75",1,"true_all",25,25,20,0.000117642410769052,2.41607939035087e-05,0,0,38,0,0,0,NA,NA,1,1.2711538303947,1.27115451383367,1.2711538303947,1.27115451383367,0.0108461805533467,"N_half_and_bayes_factor"
"76",1,"true_all",26,25,9,9.99003553798933e-05,4.26966185973543e-05,0,0,16,0,0,0,NA,NA,1,1.24987486203634,1.24987495386158,1.24987486203634,1.24987495386158,0.00999499815446305,"N_over_half"
"77",1,"true_all",26,25,9,9.99003553798933e-05,4.26966185973543e-05,0,0,16,0,0,0,NA,NA,1,1.24987486203634,1.24987495386158,1.24987486203634,1.24987495386158,0.00999499815446305,"bayes_factor_10"
"78",1,"true_all",26,25,9,9.99003553798933e-05,4.26966185973543e-05,0,0,16,0,0,0,NA,NA,1,1.24987486203634,1.24987495386158,1.24987486203634,1.24987495386158,0.00999499815446305,"N_half_and_bayes_factor"
"79",1,"true_all",27,25,36,0.00016694891991763,0.013780759364944,1,0,69,1,0,0,0,1,1,1.32143500406364,1.32175839136504,1.32143500406364,1.32175839136504,0.0128815292045064,"N_over_half"
"80",1,"true_all",27,25,36,0.00016694891991763,0.013780759364944,1,0,69,1,0,0,0,1,1,1.32143500406364,1.32175839136504,1.32143500406364,1.32175839136504,0.0128815292045064,"bayes_factor_10"
"81",1,"true_all",27,25,36,0.00016694891991763,0.013780759364944,1,0,69,1,0,0,0,1,1,1.32143500406364,1.32175839136504,1.32143500406364,1.32175839136504,0.0128815292045064,"N_half_and_bayes_factor"
"82",1,"true_all",28,25,18,0.00010805837660011,2.941786016858e-05,0,0,34,0,0,0,NA,NA,1,1.25986795739394,1.25986964617743,1.25986795739394,1.25986964617743,0.0103947858470973,"N_over_half"
"83",1,"true_all",28,25,18,0.00010805837660011,2.941786016858e-05,0,0,34,0,0,0,NA,NA,1,1.25986795739394,1.25986964617743,1.25986795739394,1.25986964617743,0.0103947858470973,"bayes_factor_10"
"84",1,"true_all",28,25,18,0.00010805837660011,2.941786016858e-05,0,0,34,0,0,0,NA,NA,1,1.25986795739394,1.25986964617743,1.25986795739394,1.25986964617743,0.0103947858470973,"N_half_and_bayes_factor"
"85",1,"true_all",29,25,7,5.82643488238635e-05,5.77957873383784e-05,0,0,12,0,0,0,NA,NA,1,1.19082701596938,1.19082711295288,1.19082701596938,1.19082711295288,0.00763308451811511,"N_over_half"
"86",1,"true_all",29,25,7,5.82643488238635e-05,5.77957873383784e-05,0,0,12,0,0,0,NA,NA,1,1.19082701596938,1.19082711295288,1.19082701596938,1.19082711295288,0.00763308451811511,"bayes_factor_10"
"87",1,"true_all",29,25,7,5.82643488238635e-05,5.77957873383784e-05,0,0,12,0,0,0,NA,NA,1,1.19082701596938,1.19082711295288,1.19082701596938,1.19082711295288,0.00763308451811511,"N_half_and_bayes_factor"
"88",1,"true_all",30,25,9,4.6660656831912e-05,0.0601877297102335,1,0,15,1,0,0,0,1,1,1.17058173832116,1.17058978055811,1.17058173832116,1.17058978055811,0.00682918157051396,"N_over_half"
"89",1,"true_all",30,25,9,4.6660656831912e-05,0.0601877297102335,1,0,15,1,0,0,0,1,1,1.17058173832116,1.17058978055811,1.17058173832116,1.17058978055811,0.00682918157051396,"bayes_factor_10"
"90",1,"true_all",30,25,9,4.6660656831912e-05,0.0601877297102335,1,0,15,1,0,0,0,1,1,1.17058173832116,1.17058978055811,1.17058173832116,1.17058978055811,0.00682918157051396,"N_half_and_bayes_factor"
"91",1,"true_all",31,25,2,4.38268563506621e-05,0.000355477726129484,0,0,2,0,0,0,NA,NA,1,1.16550463805937,1.16550463805937,1.16550463805937,1.16550463805937,0.00662018552237491,"N_over_half"
"92",1,"true_all",31,25,2,4.38268563506621e-05,0.000355477726129484,0,0,2,0,0,0,NA,NA,1,1.16550463805937,1.16550463805937,1.16550463805937,1.16550463805937,0.00662018552237491,"bayes_factor_10"
"93",1,"true_all",31,25,2,4.38268563506621e-05,0.000355477726129484,0,0,2,0,0,0,NA,NA,1,1.16550463805937,1.16550463805937,1.16550463805937,1.16550463805937,0.00662018552237491,"N_half_and_bayes_factor"
"94",1,"true_all",32,25,14,6.92255222494419e-05,3.00774368500493e-05,0,0,26,0,0,0,NA,NA,1,1.20799624488599,1.20799748599847,1.20799624488599,1.20799748599847,0.00831989943993864,"N_over_half"
"95",1,"true_all",32,25,14,6.92255222494419e-05,3.00774368500493e-05,0,0,26,0,0,0,NA,NA,1,1.20799624488599,1.20799748599847,1.20799624488599,1.20799748599847,0.00831989943993864,"bayes_factor_10"
"96",1,"true_all",32,25,14,6.92255222494419e-05,3.00774368500493e-05,0,0,26,0,0,0,NA,NA,1,1.20799624488599,1.20799748599847,1.20799624488599,1.20799748599847,0.00831989943993864,"N_half_and_bayes_factor"
"97",1,"true_all",33,25,11,8.94192003714052e-05,3.73609541899523e-05,0,0,20,0,0,0,NA,NA,1,1.23640343481186,1.23640357620952,1.23640343481186,1.23640357620952,0.00945614304838063,"N_over_half"
"98",1,"true_all",33,25,11,8.94192003714052e-05,3.73609541899523e-05,0,0,20,0,0,0,NA,NA,1,1.23640343481186,1.23640357620952,1.23640343481186,1.23640357620952,0.00945614304838063,"bayes_factor_10"
"99",1,"true_all",33,25,11,8.94192003714052e-05,3.73609541899523e-05,0,0,20,0,0,0,NA,NA,1,1.23640343481186,1.23640357620952,1.23640343481186,1.23640357620952,0.00945614304838063,"N_half_and_bayes_factor"
"100",1,"true_all",34,25,13,5.87330925311948e-05,3.30241854471511e-05,0,0,24,0,0,0,NA,NA,1,1.19159114626292,1.19159151333923,1.19159114626292,1.19159151333923,0.00766366053356916,"N_over_half"
"101",1,"true_all",34,25,13,5.87330925311948e-05,3.30241854471511e-05,0,0,24,0,0,0,NA,NA,1,1.19159114626292,1.19159151333923,1.19159114626292,1.19159151333923,0.00766366053356916,"bayes_factor_10"
"102",1,"true_all",34,25,13,5.87330925311948e-05,3.30241854471511e-05,0,0,24,0,0,0,NA,NA,1,1.19159114626292,1.19159151333923,1.19159114626292,1.19159151333923,0.00766366053356916,"N_half_and_bayes_factor"
"103",1,"true_all",35,25,8,9.58552605354397e-05,4.07738617988458e-05,0,0,14,0,0,0,NA,NA,1,1.24475807237668,1.24475908818586,1.24475807237668,1.24475908818586,0.00979036352743436,"N_over_half"
"104",1,"true_all",35,25,8,9.58552605354397e-05,4.07738617988458e-05,0,0,14,0,0,0,NA,NA,1,1.24475807237668,1.24475908818586,1.24475807237668,1.24475908818586,0.00979036352743436,"bayes_factor_10"
"105",1,"true_all",35,25,8,9.58552605354397e-05,4.07738617988458e-05,0,0,14,0,0,0,NA,NA,1,1.24475807237668,1.24475908818586,1.24475807237668,1.24475908818586,0.00979036352743436,"N_half_and_bayes_factor"
"106",1,"true_all",36,25,5,7.25797767268286e-05,8.84234991832267e-05,0,0,8,0,0,0,NA,NA,1,1.21298289552017,1.21298312239626,1.21298289552017,1.21298312239626,0.00851932489585021,"N_over_half"
"107",1,"true_all",36,25,5,7.25797767268286e-05,8.84234991832267e-05,0,0,8,0,0,0,NA,NA,1,1.21298289552017,1.21298312239626,1.21298289552017,1.21298312239626,0.00851932489585021,"bayes_factor_10"
"108",1,"true_all",36,25,5,7.25797767268286e-05,8.84234991832267e-05,0,0,8,0,0,0,NA,NA,1,1.21298289552017,1.21298312239626,1.21298289552017,1.21298312239626,0.00851932489585021,"N_half_and_bayes_factor"
"109",1,"true_all",37,25,17,6.53194369128266e-05,3.46205982239177e-05,0,0,32,0,0,0,NA,NA,1,1.20204213214468,1.20204342245531,1.20204213214468,1.20204342245531,0.00808173689821231,"N_over_half"
"110",1,"true_all",37,25,17,6.53194369128266e-05,3.46205982239177e-05,0,0,32,0,0,0,NA,NA,1,1.20204213214468,1.20204342245531,1.20204213214468,1.20204342245531,0.00808173689821231,"bayes_factor_10"
"111",1,"true_all",37,25,17,6.53194369128266e-05,3.46205982239177e-05,0,0,32,0,0,0,NA,NA,1,1.20204213214468,1.20204342245531,1.20204213214468,1.20204342245531,0.00808173689821231,"N_half_and_bayes_factor"
"112",1,"true_all",38,25,14,0.00010655748318018,2.9560947357764e-05,0,0,26,0,0,0,NA,NA,1,1.25806634728583,1.25806640909864,1.25806634728584,1.25806640909864,0.0103226563639457,"N_over_half"
"113",1,"true_all",38,25,14,0.00010655748318018,2.9560947357764e-05,0,0,26,0,0,0,NA,NA,1,1.25806634728583,1.25806640909864,1.25806634728584,1.25806640909864,0.0103226563639457,"bayes_factor_10"
"114",1,"true_all",38,25,14,0.00010655748318018,2.9560947357764e-05,0,0,26,0,0,0,NA,NA,1,1.25806634728583,1.25806640909864,1.25806634728584,1.25806640909864,0.0103226563639457,"N_half_and_bayes_factor"
"115",1,"true_all",39,25,17,0.000149414791157027,0.0303555060776125,1,0,31,1,0,0,0,1,1,1.29559639195344,1.2977597760068,1.29559639195344,1.2977597760068,0.0118700590780772,"N_over_half"
